Original sort order,Names,Acres,Month & Day,Year
1177,"Leicht, Peter",100,Feb. 26,1740
1178,"Levan, Daniel",100,March 25,1740
1179,"Levy, Nathan",null,Sept. 25,1740
1180,"Levan, Jacob",30,March 15,1741
1181,"Logan, James, Esq.",Liberty land,March 25,1741
1182,"Leyzer, Benedict",50,April 30,1741
1183,"Long, Elias",30,May 1,1741
1184,"Lybe, Conrad",100,May 26,1741
1185,"Leyby, Fred'k",100,June 30,1741
1186,"Lee, Anthony",100,Nov. 2,1741
1187,"Ley, Mathias",100,Jan. 7,1742
1188,"Lundy, Rich'd, Jr.",200,Feb. 8,1742
1189,"Leyzer, Benedict",50,March 11,1742
1190,"Longacre, Peter",45,April 26,1742
1191,"Longacre, Peter",null,July 1,1742
1192,"Lesher, John",56,July 29,1742
1193,"Lynk, Adam",50,Oct. 19,1742
1194,"Ludowyck, Mich'l",107,Nov. 17,1742
1195,"Lukenbeil, H'y",100,Feb. 11,1743
1196,"Lightfoot, Samuel",100,March 8,1743
1197,"Longacre, Peter",66,March 18,1743
1198,"Lundy, Rich'd",50,March 17,1743
1199,"Lesh, Christian",50,March 30,1743
1200,"Lefevre, John",576.5,April 8,1743
1201,"Lebo, John",150,May 17,1743
1202,"Levan, Abraham",200,Nov. 23,1743
1203,"Levergood, Peter",200,Dec. 7,1743
1204,"Long, Evan",200,Feb. 8,1744
1205,"Luntz, Jacob",100,Feb. 23,1744
1206,"Lowbaugh, Peter",25,March 1,1744
1207,"Lisle, Mary",Lot,April 18,1744
1208,"Linton, John",Lot,April 23,1744
1209,"Linebaugh, Fred'k",150,May 2,1744
1210,"Long, Theobold",100,April 2,1745
1211,"Lesh, Christian",50,April 24,1745
1212,"Leile, Jacob",100,March 18,1746
1213,"Lukenbeil, Adam",50,Oct. 28,1746
1214,"Lukenbeil, Adam",50,Oct. 23,1746
1215,"Lee, Anthony",50,Sept. 23,1746
1216,"Long, Henry",100,May 7,1747
1217,"Lydie, George",200,Dec. 10,1748
1218,"Lowback, Peter",15,Jan. 3,1749
1219,"Lesh, Christian",50,Jan. 4,1749
1220,"Lechtley, Anthony",30,Jan. 26,1749
1221,"Leonard, Peter",25,March 9,1749
1222,"Levergood, Peter",40,March 21,1749
1223,"Little, Mich'l",50,March 21,1749
1224,"Long, Theobold",30,March 28,1749
1225,"Long, Dewald",150,March 28,1749
1226,"Lutwick, Daniel",50,April 19,1749
1227,"Lightfoot, Samuel",50,June 20,1749
1228,"Lightfoot, Benj.",50,June 20,1749
1229,"Long, Elias",50,July 12,1749
1230,"Leman, Philip",25,July 18,1749
1231,"Levan, Jacob",50,Aug. 29,1749
1232,"Lineback, Fred'k & H'y",33.75,Sept. 7,1749
1233,"Ludwig, Daniel",50,Jan. 21,1750
1234,"Lesher, John",50,Jan. 30,1750
1235,"Lesher, John",50,Jan. 30,1750
1236,"Levers, Robt.",100,March 5,1750
1237,"Levers, Robt.",100,March 5,1750
1238,"Levers, Robt.",200,March 5,1750
1239,"Lohra, George",50,March 2,1750
1240,"Long, Henry",100,April 10,1750
1241,"Letcher, Francis",25,May 26,1750
1242,"Letcher, Francis",100,May 26,1750
1243,"Lawrence, Jacob",50,June 2,1750
1244,"Lambert, George",50,June 13,1750
1245,"Lechleider, Conrad",100,July 24,1750
1246,"Lezer, Benedict",50,Aug. 2,1750
1247,"Levergood, Adam",136,Sept. 6,1750
1248,"Lippert, Jacob",150,Oct. 31,1750
1249,"Levan, Jacob",25,Dec. 21,1750
1250,"Levy, Frederick",25,May 8,1751
1251,"Lansiscus, George",51,May 8,1751
1252,"Levan, Jacob",25,May 8,1751
1253,"Lightfoot, Kathrine",100,July 6,1751
1254,"Lichty, Anthony",25,Oct. 8,1751
1255,"Levan, Isaac",null,Dec. 3,1751
1256,"Levan, Isaac",null,Dec. 4,1751
1257,"Llewellin, David",null,Dec. 26,1751
1258,"Lightfoot, Benj.",No. 69 (a lot),Jan. 30,1752
1259,"Lepol, John",No. 69 (a lot),Feb. 3,1752
1260,"Lich, Henry",No. 69 (a lot),Feb. 3,1752
1261,"Levy, Nathan",null,June 27,1752
1262,"Lardner, Lynford",200,March 29,1755
1263,"Logan, Wm., Esq.",15,Nov. 29,1759
1264,"Lowry, Alexander",50,Oct 1,1761
1265,"Lardner, Lynford",null,June 7,1764
1266,"Lardner, Lynford",100,Feb 13,1765
1267,"Lees, Joseph",45,June 19,1769
1268,"Lidie, Jacob, & others",null,Oct 12,1769
1269,"Lidie, Jocobina",14,Feb 27,1770
1270,"Livezey, Jonathan",4,Feb 21,1775
1271,"Lownes, John",null,Feb. 7,1785
1272,"Livezey, John",1,Sept 6,1808
1273,"Levering, Aaron",2,April 1,1811
1274,"Moyer, Hans",150,Feb 5,1733
1275,"May, William",150,March 8,1733
1276,"Mickle, Samuel",1000,May 1,1733
1277,"Mifflin, Geo. & others",500,May 22,1733
1278,"March, Eliza",Liberty land,July 12,1733
1279,"Marree, Christian",null,Aug. 22,1733
1280,"Mifflin, Geo.",City lots,Nov. 19,1733
1281,"Maur, Adam",200,200,1734
1282,"Miller, Andreas",150,Feb 7,1734
1283,"Mathias, Stephen",100,Feb 20,1734
1284,"Maise, Andrew",125,Feb 20,1734
1285,"Meketerffer, John",100,Feb 23,1734
1286,"Meyer, Ulrich Hans",100,March 23,1734
1287,"Meynard, Fred'k",150,April 10,1734
1288,"Markle, Christ'n",150,May 7,1734
1289,"Malin, Isaac, Jr.",150,May 17,1734
1290,"Miller, Mich'l",200,June 11,1734
1291,"Moyer, Hans",50,July 3,1734
1292,"March, George",125,Sept 2,1734
1293,"Meshlin, Jacob",100,Sept 3,1734
1294,"McCall, George",102,Sept. 10,1734
1295,"Moser, Adam",150,Sept 12,1734
1296,"Moser, Mich'l",100,Sept 16,1734
1297,"Mickle, Jacob",200,Oct 2,1734
1298,"Moser, Adam",75,Dec 9,1734
1299,"Mol, Peter",100,Dec. 26,1734
1300,"Masters, Thomas",null,Dec 26,1734
1301,"Mifflin, Jonathan",City lot,Feb 21,1735-6
1302,"Morris, Anthony",null,June 14,1736
1303,"Meischter, David",100,Nov. 3,1736
1304,"Miller, Adam",100,Nov. 10,1736
1305,"Moye, Simon",100,Nov. 17,1736
1306,"Maybery, Tho's",100,Nov. 29,1736
1307,"Melcher, Geo., & Co.",75,Jan. 17,1737
1308,"Mayberry, Tho's",300,March 15,1737
1309,"Mayberry, Tho's",100,March 15,1737
1310,"Miller, Gerrard",100,March 17,1737
1311,"Miller, Gerrard",100,March 17,1737
1312,"Mawnishmet, Xtian",100,June 15,1737
1313,"Moran, Edward",150,Sept. 9,1737
1314,"Moyer, Ulrich",150,Oct. 4,1737
1315,"Mull, Peter",50,Nov. 15,1737
1316,"Miller, John",100,Nov. 16,1737
1317,"Morris, Anthony, & others",500,Nov. 16,1737
1318,"Monalsmith, Daniel",200,Dec. 1,1737
1319,"Miller, Jacob Hans",100,March 3,1738
1320,"Moyer, Fred'k",400,April 19,1738
1321,"Mackhest, Edw.",100,April 25,1738
1322,"Moyer, Ulrich",100,July 14,1738
1323,"Martin, Robt.",150,Aug. 7,1738
1324,"Mess, George",100,Aug. 25,1738
1325,"March, David",150,Oct. 12,1738
1326,"Moyer, Abraham",25,March 4,1739
1327,"Mock, John",200111,March 6,1739
1328,"Mickle, Sam'l & others",1588.71,July 1,1739
1329,"Meischter, David",100,Jan. 28,1740
1330,"Moyer, Abraham",25,March 3,1740
1331,"Markle, Christian",100,April 24,1740
1332,"Mathews, Rob't",220.75,May 15,1740
1333,"Miller, Jacob",100,July 28,1740
1334,"Monasmith, Christ'n",200,Aug. 12,1740
1335,"Miller, John",125,Jan. 27,1741
1336,"Mifflin, Jonathan",null,Feb. 25,1740-1
1337,"Marsh, Joseph",City lot,March 2,1740-1
1338,"Miller, Christ'n",150,March 3,1741
1339,"Mack, John",149.75,March 16,1741
1340,"Moyer, Fred'k",null,April 7,1741
1341,"Morris, Hannah",City lot,April 10,1741
1342,"Merkle, Xtian",50,July 9,1741
1343,Market,Lots,Aug. 12,1741
1344,"Musshk, H'y",100,Dec. 1,1741
1345,"Manismith, Christ.",215,Dec. 16,1741
1346,"Meredith, Rees",null,June 4,1742
1347,"Mayberry, Thos.",150,Sept. 15,1742
1348,"Mayberry, Thos.",80,Sept. 15,1742
1349,"Miller, Mich'l",100,Oct. 2,1742
1350,"Mayberry, Thos.",103,Oct. 11,1742
1351,"Mayze, Andreas",100,Nov. 25,1742
1352,"Mayberry, Thomas",50,Nov. 27,1742
1353,"Moser, Adam",45,March 1,1743
1354,"Miller, Jacob",50,March 7,1743
1355,"Mieshter, David",100,April 12,1743
1356,"Mertz, Nicholas, Jn'o",100,April 14,1743
1357,"Mendenhall, Jn'o",1000,April 16,1743
1358,"Miller, David",City lot,Oct. 18,1743
1359,"Meester, David",25,Nov. 28,1743
1360,"Mayberry, Tho's",600,May 4,1744
1361,"Meyer, Fred'k",150,May 16,1744
1362,"Meyer, Fred'k",100,May 16,1744
1363,"Mayberry, Tho's",100,June 6,1744
1364,"Meishter, Gregory",150,Aug. 11,1744
1365,"Meir, Thomas",null,Aug. 30,1744
1366,"Meir, Thomas",Lots,Aug. 30,1744
1367,"Mayberry, Thos.",Lots,Aug. 30,1744
1368,"Moyer, Dewalt",50,Dec. 13,1744
1369,"Millhouse, Casper",200,Jan. 18,1745
1370,"Muffley, Nicholas",100,March 4,1745
1371,"Moyer, Abraham",100,May 28,1745
1372,"Mifflin, Benj.",Lots,Nov. 1,1745
1373,"Morris, Morris",3 lots,Nov. 1,1745
1374,"Moyer, Henry",100,March 18,1746
1375,"Muhlenberg, Melchoir H'y",50,April 11,1746
1376,"Moore, Conrad",100,April 30,1746
1377,"Mertz, H'y",200,Oct. 28,1746
1378,"Meas, John",Bank lot,March 31,1747
1379,"Moffley, Nicholas",25,May 19,1747
1380,"Miner, John",100,June 6,1747
1381,"Miller, Jacob",200,June 16,1747
1382,"Moser, Paul John",100,June 30,1747
1383,"Martin, Derrick",25,Oct. 7,1747
1384,"Mayberry, Thomas",100,Dec. 9,1747
1385,"Morgan, Mary",null,Dec. 24,1747
1386,"Morgan, Mary, widow",null,March 25,1748
1387,"Mock, George",100,July 26,1748
1388,"Mona smith, Conrad",115103,Sept. 28,1748
1389,"Mona smith, Conrad",100,Sept. 28,1748
1390,"Mertle, Christian",100,Sept. 30,1748
1391,"Moyer, Leonard",150,Nov. 30,1748
1392,"Moyer, John",50,Jan. 14,1748-9
1393,"Mathew, Jacob",120,Feb 14,1749
1394,"Miller, Conrad",25,Feb 22,1748-9
1395,"Miller, Conrad",200,Feb 22,1748-9
1396,"Masdon, Thomas",20,Feb 27,1749
1397,"Mayberry, Sophia, and others",2537,March 17,1748-9
1398,"Michle, Samuel",412,March 14,1749
1399,"Mock, John",50,July 12,1749
1400,"Maan, Baltzer",100,July 19,1749
1401,"Martin, Derrick",150,Sept 22,1749
1402,"Miller, George",100,Oct 25,1749
1403,"Muffley, Nicholas",150,Nov. 17,1749
1404,"McHaatch, H'y",100,Dec 13,1749
1405,"Moore, Alexander",Bank lot,Jan. 13,1750
1406,"Milhouse, Casper",100,Jan. 17,1750
1407,"Monck, Tobias",100,Feb 17,1750
1408,"Maglee, Jacob",50,Feb 15,1750
1409,"Mock, George",25,March 4,1750
1410,"Marperier, Daniel",100,March 6,1750
1411,"Mertz, Henry",25,March 14,1750
1412,"Mombower, H'y",150,April 24,1750
1413,"Miller, John",150,May 18,1750
1414,"McCall, Sam'l, Jr.",500,June 28,1750
1415,"McCall, Sam'l, Sen'r",500,June 28,1750
1416,"McCall, George",500,June 28,1750
1417,"McCall, Archibald",500,June 28,1750
1418,"Martin, Derrick",25,July 4,1750
1419,"Meyer, Frederick",25,Sept 19,1750
1420,"Mon, Ulrick",100,Oct 1,1750
1421,"Moser, Ludwick",25,Oct 18,1750
1422,"Mertz, Nicholas",25,Nov. 7,1750
1423,"Mertz, Nicholas",25,Nov. 7,1750
1424,"Moyer, Ulrick",50,Nov. 7,1750
1425,"Milsleger, John",50,April 25,1751
1426,"Mergle, Peter",20,May 1,1751
1427,"Metcalf, Henry",25,May 18,1751
1428,"Mock, John",25,June 14,1751
1429,"Moyer, Henry",50,July 18,1751
1430,"Moyer, Leonard",30,July 23,1751
1431,"Moyer, Jacob Philip",Lot,Feb 3,1752
1432,"Moyer, Jacob Philip",Lot,Feb 3,1752
1433,"Morgan, Francis",Lot,Feb. 3,1752
1434,"Morgan, Jacob",Lot,Feb 3,1752
1435,"Mayberry, Sophia and others",783,Feb 3,1752
1436,"Mannesmith, Conrad",50,March 3,1752
1437,"Morris, Samuel",106,July 26,1753
1438,"Morris, Wm., Esq.",Bank lot,July 29,1757
1439,"Morgan, James",153,April 6,1751
1440,"Morris, Wm.",20,April 10,1760
1441,"McFarlin, Arthur",150,Dec. 19,1760
1442,"Miller, Rebecca and others",25,Sept. 17,1761
1443,"Morris, Jos., H'y and Lisle",5.25,Aug. 6,1765
1444,"Morris, Israel",96,Aug. 16,1766
1445,Managers of the contributions to the relief of the poor,Lot,Sept. 8,1760
1446,"Martin, Yost",87128,Dec. 9,1766
1447,"Morris, John",242,April 11,1767
1448,Managers of the contributions to the house of employment &c.,Lot,Dec. 16,1768
1449,"Mifflin, Jonathan",Lot,Dec. 11,1769
1450,"Mulloway, John",15,Oct. 13,1806
1451,"Norril, James",100,Feb. 5,1733
1452,"Nythsmith, Mary",100,March 14,1733
1453,"Neal, Jacob",100,March 5,1734
1454,"Neintzchiltzer, Jacob",150,May 11,1734
1455,"Nyeman, Chrlst'n",125,Oct. 30,1734
1456,"Nuslock, Mich'l",150,Nov. 4,1734
1457,"Nese, Mathias",114,Feb. 11,1735
1458,"Nise, Wm.",114,Jan. 15,1736
1459,"Neuman, Christopher",75,May 25,1737
1460,"Nolleff, Lawrence",100,Dec. 15,1737
1461,"Nise, William",25,July 31,1738
1462,"Noy, Casper and Redman",150,March 11,1740
1463,"Negely, Jacob",50,April 23,1740
1464,"Nuyn, Casper",100,Jan. 14,1741
1465,"Norris, John",Lot,July 20,1741
1466,"Nein, Casper",30,Nov. 8,1741
1467,"Noel, A. Eneas",100,Feb. 11,1743
1468,"Nine, Casper",70,March 30,1741
1469,"Netheran, Mich'l",50,March 25,1748
1470,"Newman, Christopher",27,Jan. 3,1749
1471,"Norkung, Peter",50,March 28,1748-9
1472,"Nutz, Geo. Hans",50,July 18,1749
1473,"Neyman, Christopher",100,Dec. 30,1749
1474,"Norris, Isaac, Esq.",39.41,June 29,1750
1475,"Norris, Charles and Isaac",1000,Nov. 14,1750
1476,"Norris, Charles and Isaac",1000,Nov. 14,1750
1477,"Norris, Isaac, Esq.",43.5,July 27,1751
1478,"Notchstein, Michael",50,Nov. 5,1751
1479,"Norcross, Wm.",125,June 1,1753
1480,"Nunemaker, Jacob",40,April 8,1755
1481,"Norris, Isaac, Esq.",16,April 2,1761
1482,"Norris, Isaac, Esq.",179,March 25,1762
1483,"Noble, Joseph",200,Sept. 30,1762
1484,"Norbeck, H'y",10,Feb. 6,1772
1485,"Overpeck, Andrew",114,Jan. 8,1734
1486,"Oldhams, Joseph",150,March 6,1734
1487,"Orndt, Bernard",150,Aug. 14,1734
1488,"Ox, Leonard",200,Oct. 23,1734
1489,"Orndt, Bernard",50,Nov. 9,1734
1490,"Oldhright, Jacob",250,Nov. 17,1735
1491,"Ore, John",200,Jan. 12,1737
1492,"Oyster, Jacob",100,April 14,1737
1493,"Ottinger, Christopher",147,May 3,1737
1494,"Overhultzer, Jacob",20,May 24,1740
1495,"Oswald, H'y",50,June 7,1740
1496,"Overholtzer, Jacob",50.66,May 13,1741
1497,"Ottinger, Christ'r",null,Dec. 26,1741
1498,"Ottinger, Christ'r",71,March 5,1743-4
1499,"Oyster, John",100,Aug. 13,1744
1500,"Oliver, Mathilda",City lot,Nov. 5,1745
1501,Owen Owen's heirs,500,Dec. 28,1748
1502,Owen Owen's heirs,Lots,Dec. 28,1748
1503,"Oyster, John",25,April 11,1749
1504,"Ongsted, George",60,Nov. 2,1749
1505,"Onangst, Andreas",100,Dec. 4,1749
1506,"Ohl, John",25,May 8,1751
1507,Owen Owen's heirs,500,July 13,1751
1508,"Orlinger, George",25,July 23,1751
1509,"Okill, George",Lot,Jan. 16,1753
1510,"Ohl, Andrew",25,Jan. 2,1759
1511,"Parrin, Francis",550,Jan. 31,1733
1512,"Peter, Engle",150,Feb. 27,1733
1513,"Pompery, Martin",150,Feb. 27,1733
1514,"Pitts, Wm.",118,March 14,1733
1515,"Powell, Samuel","Lot, &c.",May 18,1733
1516,"Parsons, Thomas",25,Aug. 30,1733
1517,"Parsons, Thomas",20,Aug. 30,1733
1518,"Poger, Martin",100,Feb. 28,1734
1519,"Pugh, Edw.",100,March 10,1734
1520,"Palmer, Wm.",Liberty land,March 16,1733-4
1521,"Pertoe, John",150,May 7,1734
1522,"Palmer, Wm.",Liberty land,June 13,1734
1523,"Penrose, Robt.",450,July 31,1734
1524,"Penrose, Robt., Jr.",150,July 31,1734
1525,"Propst, Jacob Philip",150,Aug. 1,1734
1526,"Pingman, John",100,Sept. 3,1734
1527,"Plank, Adam",150,Nov. 2,1734
1528,"Peel, Weigan",100,Nov. 6,1734
1529,"Peter, Engle",150,Nov. 27,1734
1530,"Powell, Samuel",City lot,Jan. 20,1735-6
1531,"Preston, Samuel",136,May 5,1735
1532,"Powell, Samuel, Jr.",null,Nov. 25,1735
1533,"Powell, Samuel",City lots,Dec. 10,1735
1534,"Powell, Samuel",City lots,Dec. 12,1735
1535,"Powell, Samuel",100,Dec. 26,1735
1536,"Pearson, Robt.",City lot,Dec. 31,1735
1537,"Potts, Thomas",200,Feb. 25,1736
1538,"Phillips, David",80,March 12,1736
1539,"Powell, Samuel, Jr.",null,July 30,1736
1540,"Potts, John",100,Jan. 18,1737
1541,"Poyer, Christopher",50,March 3,1737
1542,"Preston, Sam'l, Esq.",100,March 3,1737
1543,"Pfhule, Philip",100,March 18,1737
1544,"Peel, Weigan",50,Aug. 13,1737
1545,"Pennock, Samuel",City lot,Nov. 23,1737
1546,"Pengeyman, Peter",50,Nov. 29,1737
1547,"Pritzzert, Hendrick",100,Dec. 10,1737
1548,"Pearson, Lawrence",200,March 25,1738
1549,"Parvin, Francis",200,June 6,1738
1550,"Parvin, Francis",200,June 6,1738
1551,"Penrose, Robert",100,Aug. 14,1738
1552,"Pilman, David",200,Oct. 4,1738
1553,"Penthuysen, Valentine",100,Oct. 6,1738
1554,"Peligh, Arnold",150,Oct. 12,1738
1555,"Potts, Wm.",200,July 11,1739
1556,"Paum, Christian",100,Nov. 21,1739
1557,"Potts, Jonathan",250,April 30,1740
1558,"Powell, Samuel",null,May 6,1740
1559,"Parr, Samuel",null,July 15,1740
1560,"Pasht, Yerrick",50,Oct. 28,1740
1561,"Patton, Ludowyck",100,Dec. 4,1741
1562,"Propst, Philip Jacob",50,March 23,1742
1563,"Propst, Philip Jacob",100,March 23,1742
1564,"Powell, Sam'l Jr. & Co.",Lots,July 23,1742
1565,"Peter, Engle",50,Jan. 27,1743
1566,"Potts, John",200,March 7,1743
1567,"Peydleman, Teeter",150,April 12,1743
1568,"Potts, Thomas",100,Nov. 28,1743
1569,"Plumsted, Clement",16,Dec. 2,1743
1570,"Parsons, Grace",null,Feb. 1,1744
1571,"Purrier, Samuel",100,Nov. 14,1744
1572,"Potts, Thomas",50,Nov. 21,1744
1573,"Pennybaker, Peter",45.25,Jan. 16,1745
1574,"Pennybaker, Peter",50,Jan. 16,1745
1575,"Parvin, Francis",50,March 5,1745
1576,"Pander, Conrad",50,March 27,1745
1577,"Popp, Conrad",90,April 3,1745
1578,"Pooger (alias Boger), Martin",25,May 13,1745
1579,"Price, John",Lot,Nov. 1,1745
1580,"Pywell, Wm.",Lot,Nov. 1,1745
1581,"Pywell, Wm.",Lot,Nov. 1,1745
1582,"Pott, Wm.",100,April 9,1746
1583,"Powell, Valentine",100,Aug. 25,1746
1584,"Peters, Nicholas",60,Dec. 29,1746
1585,"Peart, Rachel",null,June 8,1747
1586,"Powell, Samuel, Sen'r",City lot,June 27,1747
1587,"Powell, Abigail",Lot,Feb. 13,1748
1588,"Poak, Mich'1",100,May 11,1748
1589,"Petty, John",null,June 1,1748
1590,"Parvin, Francis",15,June 7,1748
1591,"Peter, John",25,Jan. 5,1749
1592,"Polander, Nicholas",100,Jan. 24,1748-9
1593,"Petteri, Jacob",50,Feb. 10,1749
1594,"Pouse, George",100,May 3,1749
1595,"Propst, Michael",50,May 3,1749
1596,"Peidleman, Teeter",50,June 14,1749
1597,"Parrock, James",Lot,July 3,1749
1598,"Parrock, James",Lot,July 3,1749
1599,"Possert, Baltzer",50,Aug. 5,1749
1600,"Peters, Richard",null,Dec. 15,1749
1601,"Physick, Edmond",100,March 4,1750
1602,"Platner, Michael",50,March 19,1750
1603,"Pendlerooz, Hans",25,May 8,1750
1604,"Po, Baltzer",50,July 16,1750
1605,"Potts, Frederick",50,Oct. 3,1750
1606,"Peters, Jacob",50,Oct. 11,1750
1607,"Pope, Conrad",50,Dec. 31,1750
1608,"Petrick, Jacob",20,May 1,1751
1609,"Penrose, Wm.",25,May 4,1751
1610,"Parrock, James",Lot,May 8,1751
1611,"Peidleman, Teeter",25,May 23,1751
1612,"Parvin, Francis",125,May 30,1751
1613,"Parvin, Francis",25,June 1,1751
1614,"Parvin, Francis",25,June 1,1751
1615,"Pop, Conrad",30,June 4,1751
1616,"Pop, Conrad",30,June 4,1751
1617,"Popst, Henry",25,July 24,1751
1618,"Physick, Edmund",100,July 29,1751
1619,"Powell, Sam'l",Lots,July 31,1751
1620,"Platner, Mich'l",25,Aug. 24,1751
1621,"Peter, Abraham",50,Nov. 20,1751
1622,"Parsons, Wm.",Lot,Feb. 3,1752
1623,"Peters, Richard",40,Feb. 22,1755
1624,"Polgreen, Bickley Thos.",Bank lot,July 23,1757
1625,"Parr, William",City lot,Aug. 24,1756
1626,"Poole, Henry",20,April 4,1759
1627,"Preston, Thomas",1504,March 27,1755
1628,"Painter, George",125,Oct. 9,1760
1629,"Parker, James",147,Dec. 5,1760
1630,"Peterman, Jacob",125,Jan. 7,1761
1631,"Pemberton, Israel",461.25,March 11,1761
1632,"Peters, Wm., Esq.",City lot &c.,April 26,1762
1633,"Potts, John",100,June 12,1762
1634,"Pennybaker, Peter",6.50,Jan. 16,1765
1635,"Peters, Rich'd",Lot,Oct. 31,1766
1636,"Peters, William, Esq.",Lot,April 28,1769
1637,"Penner, John",7.49,April 5,1770
1638,"Parr, Wm., & Als.",null,June 6,1770
1639,"Peart, Mary",Lot,July 27,1772
1640,"Potts, Thomas",null,Aug. 24,1772
1641,"Powell, Samuel",Lot,Dec. 20,1773
1642,"Physick, Edmond",Lot,July 11,1774
1643,"Pemberton, James, & others",3.21,Oct. 20,1774
1644,"Peters, Rich'd",11,April 10,1788
1645,"Penn, John, Jr.",City lots,July 1,1788
1646,"Peters, Richard, Esq.",City lot,Assigned by Jan.,
1647,"Prentiss, John",4.38,Sept. 11,1830
1648,"Prentiss, John",40,Sept. 11,1830
1649,"Prentiss, John",25,Sept. 11,1830
1650,"Pearson, Isaac",10,June 9,1836
1651,"Pratt, Henry","City lot, sold by prison insp'rs",,
1652,"Pigon, Fred'k, Alex. Preston, Act of Assembly",,April 5,1866
1653,"Rutter, George",200,Feb. 26,1733
1654,"Rutter, George",100,Feb. 26,1733
1655,"Rutter, Francis",100,Feb. 26,1733
1656,"Richard, Owen",200,Feb. 27,1733
1657,"Rutter, John",100,March 14,1733
1658,"Redd, Conrad, Jn'o",150,March 14,1733
1659,"Richter, George",100,March 20,1733
1660,"Royer, Mich'l Hans",180,Jan. 17,1734
1661,"Ruppert, Stephen",100,Feb. 28,1734
1662,"Rutter, John",100,March 5,1734
1663,"Roberts, Wm.",200,March 25,1734
1664,"Rutter, George",100,May 11,1734
1665,"Ryfe, Conrad",10,May 8,1734
1666,"Rasborough, Rob't",250,July 31,1734
1667,"Reiff, Hans",null,Aug. 1,1734
1668,"Reiff, Hans",50,Aug. 12,1734
1669,"Rider, Michael",150,Sept. 10,1734
1670,"Rymer, Fritz",40,Nov. 8,1734
1671,"Robeson, Jonathan",200,March 25,1735
1672,"Risley, Margaret",Lot,Sept. 16,1735
1673,"Rudman, Elizabeth",4.75,Oct. 1,1735
1674,"Roberts, John",3,Dec. 18,1735
1675,"Rode, Henry",200,Feb. 19,1736
1676,"Roeterman, Christ'n",200,Nov. 26,1736
1677,"Reis, Mathew",250,Nov. 30,1736
1678,"Royer, Mich'l, & Als.",40,Jan. 12,1737
1679,"Rell, John",200,Jan. 18,1737
1680,"Reinhart, Conrad",200,Jan. 23,1737
1681,"Rutlidge, Isaac",150,Jan. 27,1737
1682,"Ruhr, Jacob",100,April 2,1737
1683,"Richter, Christopher",150,May 10,1737
1684,"Reezer, Sevilla Mary",100,Sept. 13,1737
1685,"Rhodes, John",250,Oct. 18,1737
1686,"Robeson, Jonathan",500,Oct. 25,1737
1687,"Rhodarmel, Peter",100,Oct. 26,1737
1688,"Ruckstool, Solomon",100,Oct. 26,1737
1689,"Rood, George",100,Nov. 1,1737
1690,"Reyfell, Fred'k",100,Nov. 25,1737
1691,"Reyfell, Adam John",50,Nov. 25,1737
1692,"Rasborough, Robt.",150,March 27,1738
1693,"Rasborough, Robt.",50,March 27,1738
1694,"Redarm, Lawrence",150,Aug. 15,1738
1695,"Rodarmel, Peter",100,Aug. 30,1738
1696,"Robinhult, Wm.",100,Sept. 6,1738
1697,"Ripert, Stephen",100,Oct. 11,1738
1698,"Rothermel, Peter",250,Oct. 17,1738
1699,"Rich, Godfrey",200,Oct. 18,1738
1700,"Rouse, John",200,Oct. 24,1738
1701,"Rhodes, Barnabas",150.76,Jan. 2,1739
1702,"Rood, Mich'l",150,Sept. 8,1739
1703,"Rhoads, Matthias",200,April 15,1740
1704,"Rhoads, Conrad, Jr.",200,April 15,1740
1705,"Rothe, Geo. Hans",70,May 20,1740
1706,"Rooreback, Geo.",100,Oct. 2,1740
1707,"Roseborough, Robt.",100,Feb. 23,1741
1708,"Robeson, Jonathan",100,March 4,1741
1709,"Renn, Bernard",126,March 17,1741
1710,"Roberts, Wm.",100,March 25,1741
1711,"Renn, Bernard",50,April 21,1741
1712,"Robeson, Peter",109,May 20,1741
1713,"Richard, Ludowyck",100,May 26,1741
1714,"Robison, Jonathan",150,Aug. 12,1741
1715,"Reiff, Conrad, & Als.",200,March 8,1742
1716,"Reiff, Conrad, & Als.",125,March 9,1742
1717,"Rodarmel, Christ'n",250,March 14,1742
1718,"Rhoads, Matthias",100,March 23,1742
1719,"Rhoads, Matthias",50,March 23,1742
1720,"Reis, Valentine",100,March 23,1742
1721,"Robeson, Jonathan",377,Nov. 17,1742
1722,"Reiff, Conrad",200,Feb. 17,1743
1723,"Reel, Nicholas",30,March 10,1743
1724,"Rever, Leonard",25,April 11,1743
1725,"Rodarmel, Peter",100,April 15,1743
1726,"Reed, Conrad Jn'o",100,May 25,1743
1727,"Ryfell, Adam",100,Sept. 24,1743
1728,"Rutter, George",100,Oct. 6,1743
1729,"Reyninger, Marcus",100,Oct. 18,1743
1730,"Rhoads, John",50,Nov. 4,1743
1731,"Rood, Ulrich",50,Dec. 1,1743
1732,"Reymer, Nicholas",100,March 20,1744
1733,"Rutlidge, Wm.",50,April 5,1744
1734,"Ross, John",150,April 6,1744
1735,"Ross, John",150,April 14,1744
1736,"Reder, Conrad Jn'o",100,June 6,1744
1737,"Rhoads, Samuel",Lot,Aug. 30,1744
1738,"Roderbill, Lawrence",100,Oct. 26,1744
1739,"Reiff, Conrad",100,Jan. 31,1745
1740,"Ross, John",150,April 13,1745
1741,"Reiff, Conrad, & Als.",50,April 16,1745
