Publication Year,Author,Author Reconciled,Title,Series,Publisher,Place,Library Collection,Call Number,Notes,Editors,Translator,Contributor,Edition
1918,"Doty, Madeleine Z., 1877-1963.","Doty, Madeleine Z. (Madeleine Zabriskie), 1877-1963","Behind The Battle Line, Around The World In 1918.",,The Macmillan Co.,New York,Swarthmore Peace Collection,D640.D57.,"Inscription: To Jane Addams - the beloved leader of the American women, with the hope that these pages about the women of other countries may prove of interest - Madeleine Z. Doty, November 1918 ; For the joy of comradeship in a worthy cause, we thank thee, O Lord !",,,,
1916,"J.A. Waxweiler, Emile, 1867-1916.","J.A. Waxweiler, Emile, 1867-1916.",Belgium And The Great Powers: Her Neutrality Explained And Vindicated.,,G.P. Putman's Sons,New York ; London,Swarthmore Peace Collection,D615.W3.,,,,,
1915,Women's International League for Peace and Freedom. Congress (1st: 1915: The Hague).,Women's International League for Peace and Freedom. Congress (1st: 1915: The Hague).,Bericht--rapport--report.,,International Women's Committee of Permanent Peace,Amsterdam,Swarthmore Peace Collection,JX1930.W8 1915.,,,,,
1919,"Power, Eileen Edna.","Power, Eileen, 1889-1940","A Bibliography For Teachers Of History / Edited By Eileen Power... With A Foreword By Lord Buckmaster, And An Introductory Essay By Eleanor Doorly.",,Women's International League,London,Swarthmore Peace Collection,Z6201.P8.,"Inscription: To Miss Jane Addams, with the author's homage.",,,,
1903,"Pardo de Tavera, T.H., 1857-1925.","Pardo de Tavera, Trinidad Hermenegildo, 1857-1925",Biblioteca Filipina.,,Govt. Print. Office.,Washington,Swarthmore Peace Collection,Z3291.P2.,,,,,
1915,,,"Bohemia Under Hapsburg Misrule: A Study Of The Ideals And Aspirations Of The Bohemian And Slovak Peoples, As They Relate To And Are Affected By The Great European War.",,Fleming H. Revell Co.,"New York, Chicago",Swarthmore Peace Collection,DB196.C3.,,"Čapek, Thomas 1861-1950",,,
1914,"Dunning, William Archibald, 1857-1922.","Dunning, William Archibald, 1857-1922","The British Empire And The United States: A Review Of Their Relations During The Century Of Peace Following The Treaty Of Ghent / By William Archibald Dunning... With An Introduction By The Right Honourable Viscount Bryce, O.M., And A Preface By Nicholas Murray Butler.",,C. Scribner's Sons,New York,Swarthmore Peace Collection,E183.8.G7 D9.,,,,,
1919,"Angell, Norman, 1874-1967.","Angell, Norman, 1874-1967",The British Revolution And The American Democracy; An Interpretation Of British Labour Programmes.,,B.W. Huebsch,New York,Swarthmore Peace Collection,D639.D45 A5.,,,,,
[1913],International Peace Bureau.,International Peace Bureau.,Bulletin Officiel Du Xxme CongrÃ©s Universel De La Paix... Tenu A La Haye ... 1913.,,International Peace Bureau,Berne,Swarthmore Peace Collection,JX1930.I62 1913.,,,,,
,"Besant, Annie Wood, 1847-1933.","Besant, Annie, 1847-1933.","The Case For India: Presidential Address To The Indian National Congress, At Its Thirty-second Annual Session, Calcutta, December 26, 1917.",,,,Swarthmore Peace Collection,JQ215.B5 C3.,Inscription: J. Addams page 39.,,,,
1914,"Bilgram, Hugo, b. 1847.","Bilgram, Hugo, 1847-....","The Cause Of Business Depressions As Disclosed By An Analysis Of The Basic Principles Of Economics / By Hugo Bilgram, In Collaboration With Louis Edward Levy.",,J.B. Lippincott Co.,Philadelphia,Swarthmore Peace Collection,HB171.7.B46.,,,,,
1920,"BogiÄ‡eviÄ‡, Milosh.","BogiÄ‡eviÄ‡, Milosh.","Causes Of The War: An Examination Into The Causes Of The European War, With Special Reference To Russia And Serbia.",,G. Allen & Unwin,London,Swarthmore Peace Collection,D511.B66.,,,,,
1927,"Binder, Carroll.","Binder, Carroll.","Chicago And The New Negro: How The City Absorbed The Huge Post-war Migration From The South, And What Economic, Social And Civic Changes Were Wrought Thereby.",,Chicago Daily News,[Chicago],Swarthmore Peace Collection,F548.9.N3 B6.,,,,,
1917,"Dickinson, G. Lowes, 1862-1932.","Dickinson, Goldsworthy Lowes, 1862-1932",The Choice Before Us.,,"Dodd, Mead and Co.",New York,Swarthmore Peace Collection,JX1952.D55.,,,,,
[1927],"CrÃ©hange, AndrÃ©.","CrÃ©hange, AndrÃ©.",ChÃ´mage Et Placement.,,Les Presses universitaires de France; New Haven: Yale University Press,Paris,Swarthmore Peace Collection,HC56.C38 G85.,,,,,
[1915?],,,"Christ And Peace: A Discussion Of Some Fundamental Issues Raised By The War. Essays By J. St. George Heath, W. Fearon Halliday, Henry T. Hodgkin, W.E. Orchard, Richard Roberts, A. Maude Royden / Edited By Joan M. Fry.",,Headley Brothers,London,Swarthmore Peace Collection,JX1965.5.F9.,,"Fry, Joan Mary, 1862-1955",,,
1915,"Ainslie, Peter, 1867-1934.","Ainslie, Peter, 1867-1934",Christ Or Napoleon--which?: A Study Of The Cure For World Militarism And The Church's Scandal Of Division.,,Fleming H. Revell Co.,"New York, Chicago",Swarthmore Peace Collection,JX1953.A39.,,,,,
[1925],London Yearly Meeting (Society of Friends).,London Yearly Meeting (Society of Friends).,"Christian Practice: Being The Second Part Of Christian Discipline Of The Religious Society Of Friends In Great Britain / Approved And Adopted By The Yearly Meeting, 1925.",,Friends' Bookshop,London,Swarthmore Peace Collection,BX7609.L6 1925 v.2.,,,,,
[nd],"Wilkins, William Glyde, 1854-1921.","Wilkins, William Glyde, 1854-1921",Christianity And Brotherhood... / With A Preface By Rev. John Clifford.,,""The Daily News."""The Daily News."""",London,Swarthmore Peace Collection,JX1965.5.W6.,,,,,
1915,"Jefferson, Charles Edward, 1860-1937.","Jefferson, Charles Edward, 1860-1937","Christianity And International Peace: Six Lectures At Grinnell College, Grinnell, Iowa, In February, 1915, On The George A. Gates Memorial Foundation / By Charles Edward Jefferson.",,Thomas Y. Crowell Co.,New York,Swarthmore Peace Collection,JX1965.5.J4.,,,,,
1905,"Tolstoy, Leo, graf, 1828-1910.","Tolstoj, Lev Nikolaevič,  1828-1910",Christianity And Patriotism: With Pertinent Extracts From Other Essays... / Translated By Paul Borger And Others.,,Open Court,Chicago,Swarthmore Peace Collection,JX1965.5.T6.,,,,,
1909,"White, Grace Hoffman, d. 1937.","White, Grace Hoffman, -1937",Christus: The Messenger Of Peace.,,[Privately printed],New York,Swarthmore Peace Collection,JX1964.5.W5.,,,,,
1907,"Mathews, Shailer, 1863-1941.","Mathews, Shailer, 1863-1941",The Church And The Changing Order.,,The Macmillan Company ; London: Macmillan & Co.,New York,Swarthmore Peace Collection,HN31.M35.,,,,,
1929,"Werfel, Franz, 1890-1945.","Werfel, Franz, 1890-1945.",Class Reunion.,,Simon and Schuster,New York,Swarthmore Peace Collection,PZ3.W4.,,,,,
1921,"Rolland, Romain, 1866-1944.","Rolland, Romain, 1866-1944.",Clerambault: The Story Of An Independent Spirit During The War / By Romain Rolland; Translated By Katherine Miller.,,H. Holt and Co.,New York,Swarthmore Peace Collection,JX1964.1.R65 C1.,,,,,
1923,"Thomas, Norman, 1884-1968.","Thomas, Norman, 1884-1968",The Conscientious Objector In America / By Norman Thomas; Introduction By Robert M. La Follette.,,B.W. Huebsch,New York,Swarthmore Peace Collection,JX1968.T5.,,,,,
[1923?],"Dickey, Samuel, b. 1872.","Dickey, Samuel, b. 1872.",Constructive Revolution Of Jesus.,,George H. Doran company,New York,Swarthmore Peace Collection,,"Inscription: [To] Jane Addams, Hull-House Comp[liments] of the author.",,,,
1917,"Mills, Frederick Cecil, 1892-1964.","Mills, Frederick Cecil, 1892-1964",Contemporary Theories Of Unemployment And Unemployment Relief.,,Columbia University,New York,Swarthmore Peace Collection,HD5706.M5.,,,,,
[1907?],"Perris, Henry Shaw, 1870-.","Perris, Henry Shaw 1870-",The Cult Of The Rifle And The Cult Of Peace... / With Prefatory Note By Dr. Rendel Harris.,,Clark,London,Swarthmore Peace Collection,JX1953.P45.,,,,,
1927,"Hudson, Manley O., 1886-1960.","Hudson, Manley O. (Manley Ottmer), 1886-1960.",Current International Co-operation.,,The Calcutta University,Calcutta,Swarthmore Peace Collection,JX3096.H8.,,,,,
1916,"Angell, Norman, 1874-1967.","Angell, Norman, 1874-1967",The Dangers Of Half-preparedness: A Plea For A Declaration Of American Policy.,,G.P. Putnam's Sons,New York and London,Swarthmore Peace Collection,JX1953.A63.,,,,,
[1929],"Drevet, Camille.","Drevet, Camille.","De Kovno A Vilna: A Notre PrÃ©sidente J. Addams [sic], Ã€ Toutes Mes Camarades De La Ligue Internationale Des Femmes Pour La Paix.",,Coueslant,[Cahors,Swarthmore Peace Collection,D659.L7 D7.,"Inscription: Miss J. Addams [sic] Hommage affectueux, C. Drevet",,,,
[1921],"Herron, George Davis, 1862-1925.","Herron, George Davis, 1862-1925",The Defeat In The Victory.,,C. Palmer,London,Swarthmore Peace Collection,D644.H37.,,,,,
1922,"Ralston, Jackson H., 1857-1945.","Ralston, Jackson H. (Jackson Harvey), 1857-1945",Democracy's International Law.,,J. Byrne & Co.,"Washington, D.C.",Swarthmore Peace Collection,JX3160.R3.,,,,,
[1916],France. MinistÃ¨re des affaires Ã©trangÃ¨res.,France. MinistÃ¨re des affaires Ã©trangÃ¨res.,"The Deportation Of Women And Girls From Lille. Translated Textually From The Note Addressed By The French Government To The Governments Of Neutral Powers On The Conduct Of The German Authorities Towards The Population Of The French Departments In The Occupation Of The Enemy; With Extracts From Other Documents, Annexed To The Note, Relating To German Breaches Of International Law During 1914, 1915, 1916.",,George H. Doran Co.,New York,Swarthmore Peace Collection,D639.D5 F7.,,,,,
c1923,"Post, Louis Freeland, 1849-1928","Post, Louis F. (Louis Freeland), 1849-1928",The Deportations Delirium Of Nineteen-twenty : A Personal Narrative Of An Historic Official Experience.,,C.H. Kerr,Chicago,Swarthmore Peace Collection,D570.8.A6 P6,Inscription: Comp[liments] of the author,,,,
1929,"Madariaga, Salvador de, 1886-1978.","Madariaga, Salvador de 1886-1978",Disarmament.,,Oxford,London,Swarthmore Peace Collection,JX1974.M3.,,,,,
1927,"Page, Kirby, 1890-1957.","Page, Kirby, 1890-1957","Dollars And World Peace: A Consideration Of Nationalism, Industrialism And Imperialism.",,George H. Doran Co.,New York,Swarthmore Peace Collection,HC106.3.P3.,,,,,
1918,,,"Draft Convention For League Of Nations, By Group Of American Jurists And Publicists; Description And Comment.",,The Macmillan Co.,New York,Swarthmore Peace Collection,JX1975.M35.,,"Marburg, Theodore, 1862-1946",,,
1920,"Morris, William, 1834-1896.","Morris, William, 1834-1896.",A Dream Of John Ball And A King's Lesson.,,"Longmans, Green and Co.","London, New York",Swarthmore Peace Collection,JX1964.1.M87.,,,,,
[1914],"Urquhart, Francis Fortescue, 1868-1934.","Urquhart, Francis Fortescue, 1868-1934?",The Eastern Question.,,"Oxford University Press, H. Milford","London, New York",Swarthmore Peace Collection,D516.M8.,,,,,
1918,"Loria, Achille, 1857-1943.","Loria, Achille, 1857-1943",The Economic Causes Of War / By Achille Loria... Translated By John Leslie Garner.,,C.H. Kerr & Co.,Chicago,Swarthmore Peace Collection,JX1252.L65.,,,,,
1920,"Keynes, John Maynard, 1883-1946.","Keynes, John Maynard, 1883-1946.",The Economic Consequences Of The Peace.,,"Harcourt, Brace and Howe",New York,Swarthmore Peace Collection,D648.K4.,,,,,
1923,"Hobson, J. A., 1858-1940.","Hobson, J.A. (John Atkinson), 1858-1940",The Economics Of Unemployment.,,Macmillan,,Swarthmore Peace Collection,HB171.7.H5.,,,,,
1927,"Boeckel, Florence Brewer, b. 1885.","Boeckel, Florence Brewer",The Efforts Of The United States To Bring About World Peace: Plans Of The Founders Of This Republic And Its Statesmen To Abolish War.,,National Council for Prevention of War,Washington,Swarthmore Peace Collection,JX1961.A3 B6.,,,,,
1927,Great Britain. Board of Trade.,Great Britain. Board of Trade.,18th Abstract Of Labour Statistics.,,Printed by H.M. Stationary Office,London,Swarthmore Peace Collection,HD8381.A2.,,,,,
1928,"Willis, Irene Cooper.","Willis, Irene Cooper.",England's Holy War: A Study Of English Liberal Idealism During The Great War.,,A.A. Knopf,New York,Swarthmore Peace Collection,D633.W5 E5.,,,,,
1917,"Beer, George Louis, 1872-1920.","Beer, George Louis, 1872-1920",The English-speaking Peoples: Their Future Relations And Joint International Obligations.,,The Macmillan Co.,New York,Swarthmore Peace Collection,D446.B3.,,,,,
1925,"Steiner, Edward Alfred, 1866-1956","Steiner, Edward Alfred, 1866-1956",The Eternal Hunger: Vivid Moments In Personal Experience.,,Fleming H. Revell Co.,"New York, Chicago",Swarthmore Peace Collection,JX1962.S67.,Inscription: To Miss Jane Addams with the sincerest appreciation-- Edward A Steiner. Christmas 1925.,,,,
1905,"Warner, Horace Everett, 1839-1930.","Warner, H. E. (Horace Everett), 1839-1930",The Ethics Of Force.,,Published for the International Union by Ginn & Co.,Boston,Swarthmore Peace Collection,JX1953.W3.,,,,,
1916,"Dickinson, G. Lowes, 1862-1932.","Dickinson, Goldsworthy Lowes, 1862-1932",The European Anarchy.,,The Macmillan Co.,New York,Swarthmore Peace Collection,D511.D34.,,,,,
1926,"Williams, William W.","Williams, William W.",Everybody's Job.,,Williams Publications,New York,Swarthmore Peace Collection,HN31.W5.,,,,,
1914,"Beck, James M., 1861-1936.","Beck, James M. (James Montgomery), 1861-1936","The Evidence In The Case: An Analysis Of The Diplomatic Records Submitted By England, Germany, Russia, And Belgium In The Supreme Court Of Civilization, And The Conclusions Deducible As To The Moral Responsibility Of The War.",,G.P. Putnam's sons,New York and London,Swarthmore Peace Collection,D511.B35.,,,,,
1923,"Rust, Francis Marion.","Rust, Francis Marion",Evolution Of Democracy.,,Printing press of Armenian Dioces in Azerbaijan,Tabriz,Swarthmore Peace Collection,D443.R8.,"Inscription: To Jane Addams of Hull House, whom all Americans love to honor [indecipherable] Jan. 24, 1921. F Marion.",,,,
1929,"Davie, Maurice R., (1893-1964).","Davie, Maurice R. (Maurice Rea), 1893-1964",The Evolution Of War: A Study Of Its Role In Early Societies.,,"Yale University Press ; London: H. Milford, Oxford University Press",New Haven,Swarthmore Peace Collection,JX1938.D3.,,,,,
1919,"Sayre, Francis Bowes, 1885-1972.","Sayre, Francis Bowes, 1885-1972",Experiments In International Administration.,,Harper & Brothers,New York and London,Swarthmore Peace Collection,JX1995.S3.,,,,,
1927,"Courtney, Kate.","Courtney, Kate",Extracts From A Diary During The War.,,Printed for Private Circulation,[London],Swarthmore Peace Collection,JX1962.C8.,,,,,
1912,"White, Andrew Dickson, 1832-1918.","White, Andrew Dickson, 1832-1918",The First Hague Conference.,,World Peace Foundation,Boston,Swarthmore Peace Collection,JX1918.W5.,,,,,
[1921],Pan-Pacific Educational Conference (1st: 1921: Honolulu).,Pan-Pacific Educational Conference (1st: 1921: Honolulu).,"First Pan-pacific Educational Conference, Honolulu, August 11-24, 1921: Held Under The Auspices Of The Pan-pacific Union And Called By The U.S. Department Of Education. Invitations For Participation Of Pacific Governments Sent Through The Department Of State Of The United States Of America. Program And Proceedings.",,,[Honolulu],Swarthmore Peace Collection,L107.P2 1921.,,,,,
1923,"Hudson, Manley O., 1886-1960.","Hudson, Manley O. (Manley Ottmer), 1886-1960.",The First Year Of The Permanent Court Of International Justice.,,s.n.],"[New York, N.Y.?",Swarthmore Peace Collection,JX1971.5.H81.,,,,,
[1926],"Begtrup, Holger, 1859-1937.","Begtrup, Holger, 1859-1937",The Folk High Schools Of Denmark And The Development Of A Farming Community / By Holger Begtrup... Hans Lund ... Peter Manniche... With An Introduction By Sir Michael Sadler.,,"Oxford University Press, H. Milford ; Kobenhavn: A. Busck",London,Swarthmore Peace Collection,LA875.B4.,Inscription: To Miss Jane Addams with sincere thanks for your [indecipherable] in the International People's College. Peter Manniche.,,,,
1916,"Cohen, Henrietta.","Cohen, Henrietta.",For My Sons And Other Mothers' Sons.,,Author,Cincinnati,Swarthmore Peace Collection,JX1965.C5.,,,,,
[1920],"Rolland, Romain, 1866-1944.","Rolland, Romain, 1866-1944.","The Forerunners / By Romain Rolland, Translated By Eden And Cedar Paul.",,Brace & Howe,New York,Swarthmore Peace Collection,JX1964.2.R6 P62.,,,,,
1924,"Ferrero, Guglielmo, 1871-1942.","Ferrero, Guglielmo, 1871-1942.","Four Years Of Fascism / By Guglielmo Ferrero, Translated From The Italian "da Fiume A Roma" By E.W. Dickes, With A Foreword By C.J. Squire Sprigge.""our Years Of Fascism / By Guglielmo Ferrero, Translated From The Italian",,P.S. King & Son,London,Swarthmore Peace Collection,DG571.F45.,,,,,
[1926],"Hudson, Manley O., 1886-1960.","Hudson, Manley O. (Manley Ottmer), 1886-1960.",The Fourth Year Of The Permanent Court Of International Justice.,,Carnegie Endowment for International Peace Division of Intercourse and Education,"Worcester, Mass. ; New York",Swarthmore Peace Collection,JX1971.5.H84.,Inscription: With the compliments of Manley O. Hudson.,,,,
[1920],"Mayreder, Rosa Obermayer, 1858-1938.","Mayreder, Rosa, 1858-1938",Die Frau Und Der Internationalismus.,,Frisch,Wien,Swarthmore Peace Collection,HN17.M4.,,,,,
1928,"Kallen, Horace Meyer, 1882-1974.","Kallen, Horace Meyer, 1882-1974","Freedom In The Modern World / Edited By Horace M. Kallen; Lectures Delivered At The New School For Social Research By: Walton H. Hamilton, Rev. John A. Ryan, D.D., F.J. Foakes-jackson... [and Others].",,Coward-McCann,New York,Swarthmore Peace Collection,JC585.K25.,,,,,
[1914],"Morgan, Frank, 1869-.","Morgan, Frank, 1869-?",French Policy Since 1871 / By F. Morgan And H.W. C. Davis.,,"Oxford University Press, H. Milford","London, New York",Swarthmore Peace Collection,D516.M8.,,,,,
1916,"Lynch, Ada Kyle.","Lynch, Ada Kyle","Friendship Land, And Other Poems / By Ada Kyle Lynch And Eleanore Lawrence Hatch.",,Printed by W.A. Stambach,Chicago,Swarthmore Peace Collection,JX1964.5.L9.,,,,,
1929,"Kallen, Horace Meyer, 1882-1974.","Kallen, Horace Meyer, 1882-1974",Frontiers Of Hope.,,H. Liveright,New York,Swarthmore Peace Collection,DS149.K39.,,,,,
1921,"Angell, Norman, 1874-1967.","Angell, Norman, 1874-1967","The Fruits Of Victory; A Sequel To "the Great Illusion."""he Fruits Of Victory",,The Century Co.,New York,Swarthmore Peace Collection,HC57.A783 1921.,,,,,
1915,"Babson, Roger Ward, 1875-1967.","Babson, Roger Ward, 1875-1967","The Future Of World Peace: A Book Of Charts Showing Facts Which Must Be Recognized In Future Plans For Peace; Statistics And Peace / By Roger W. Babson; Lectures Delivered In 1914 Before The Economic Club Of Providence, The Economic Club Of Portland, And Other Similar Bodies.",,Babson's Statistical Organization,Boston,Swarthmore Peace Collection,JX1953.B15 1915a.,,,,,
1929,"Norman, Carl Adolph, 1879-.","Norman, C. A. (Carl Adolph), 1879-1969",A Galilean: Dramatic Poem In Six Acts.,,The Phillips printing Co.],"[Columbus, O.",Swarthmore Peace Collection,JX1964.3.N8.,Inscription: To Miss Jane Addams with the author's deepest respect and admiration.,,,,
1918,"Muralt Ulrich, Thekla Von.","Muralt Ulrich, Thekla Von.",Gedichte Und Novellen.,,[s.n.],Wallisellen,Swarthmore Peace Collection,PT2643.L6.,"Inscription: Gift of W.I.L.P.F., Geneva, May 1941 ; Miss Jane Addams [indecipherable] Mai 1919.",,,,
[1929],,,German Students' War Letters / Translated And Arranged From The Original Edition Of Dr. Philipp Witkop By A.F. Wedd.,,E.P. Dutton and Co.,New York,Swarthmore Peace Collection,D640.W82.,,"Witkop, Philipp, 1880-1942",,,
1914,,,"The German White-book (only Authorized Translation): How Russia And Her Ruler Betrayed Germany's Confidence And Thereby Caused The European War, With The Original Telegrams And Notes.",,Liebheit & Thiesen,Berlin,Swarthmore Peace Collection,D639.P7 G3.,,,,,
[1914],"Fletcher, C.R. L., 1857-1934.","Fletcher, C. R. L. (Charles Robert Leslie), 1857-1934","The Germans: Their Empire, How They Have Made It.",,"Oxford University Press, H. Milford","London, New York",Swarthmore Peace Collection,D639.P7 G7.,,,,,
1919,"Kellogg, Vernon L., 1867-1937.","Kellogg, Vernon Lyman (1867-1937)",Germany In The War And After.,,The Macmillan Co.,New York,Swarthmore Peace Collection,D515.K29.,"Inscription: To Miss Jane Addams from Vernon Kellogg with warm regards, September 1919.",,,,
1923,"Mayreder, Rosa Obermayer, 1858-1938.","Mayreder, Rosa, 1858-1938",Geschlecht Und Kultur: Essays.,,E. Diederichs,Jena,Swarthmore Peace Collection,HQ1210.M2.,,,,,
1917,"Hay, Ian. [pseud.]","Hay, Ian, 1876-1952",Getting Together / By Ian Hay,,Hodder and Stoughton,"London, New York",Swarthmore Peace Collection,D523.B44.,,,,,
[1916],"Mann, Horace.","Mann, Horace, 1796-1859","God Vs. Mammon: Or "the Kingdom Of Heaven Is At Hand" (if We Vote For It).""od Vs. Mammon: Or "the Kingdom Of Heaven Is At Hand" (""d Vs. Mammon: Or "the Kingdom Of He"" Vs. Mammon: Or """",,Moyle,"Long Beach, California",Swarthmore Peace Collection,HN83.M2.,"Inscription: Best wishes of the author, to Miss Jane Addams of Hull House Chicago. Long Beach, Calif. June 7, 192.",,,,
1910,"Angell, Norman, 1874-1967.","Angell, Norman, 1874-1967",The Great Illusion: A Study Of The Relation Of Military Power In Nations To Their Economic And Social Advantage.,,G.P. Putnam's sons,New York and London,Swarthmore Peace Collection,JX1952.A73 1910.,,,,,
1916,"La Fontaine, Henri, 1854-1943.","La Fontaine, Henri, 1854-1943.","The Great Solution, Magnissima Charta: Essay On Evolutionary And Constructive Pacifism.",,World Peace Foundation,Boston,Swarthmore Peace Collection,JX1952.L15.,,,,,
1906,"Suttner, Bertha von, 1843-1914.","Suttner, Bertha von 1843-1914",""ground Arms!" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner Of The Nobel "peace Prize". Translated From The German By Alice Asbury Abbott.""ground Arms!" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner Of The Nobel "peace Prize". Translated From The German By Alice Asbury Abbott.""round Arms!" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner Of The Nobel "peace Prize". Translated From The German By Alice As""ound Arms!" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner Of The Nobel "peace Prize". Translated From The German ""und Arms!" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner Of The Nobel "peace Prize". Translated From T""nd Arms!" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner Of The Nobel "peace Prize". Translat""d Arms!" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner Of The Nobel "peace Prize". "" Arms!" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner Of The Nobel "peace P""Arms!" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner Of The Nobel "p""rms!" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner Of The Nob""ms!" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner Of The""s!" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner Of ""!" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner O""" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner "" "die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner """die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner""die Waffen Nieder!": A Romance Of European War / By Baroness Bertha Von Suttner, Winner""ie Waffen Nieder!": A Romance Of European War / By Baroness Bertha V""e Waffen Nieder!": A Romance Of European War / By "" Waffen Nieder!": A Romance Of Eu""Waffen Nieder!": ""af",,A.C. McClurg & Co.,Chicago,Swarthmore Peace Collection,JX1964.1.S9 W62.,,,,,
1905,"Barclay, Thomas, 1853-1941.","Barclay, Thomás, 1853-1941",The Hague Court And Vital Interests.,,Stevens and Sons,London,Swarthmore Peace Collection,JX1977.B3.,,,,,
,,,The Harbinger Of Peace.,,Published under the direction of the American Peace Society.,New York,Swarthmore Peace Collection,JX1901.H28. Volume 1 (1828/1829).,Inscription: Title page has signature: Wm. Ladd,,,,
1915,"Butler, William Frederick, compiler.","Butler, William Frederick, compiler.",""he Shall Speak Peace": Love: The Path To Paradise--present: Eternal / Compiled By Dignus Non Sum.""he Shall Speak Peace": Love: The Path To Paradise--present: Eternal / Compiled By Dignus Non Sum.""e Shall Speak Peace": Love: The Path To Paradise--present: Eternal / Compile"" Shall Speak Peace": Love: The Path To Paradise--present""Shall Speak Peace": Love: The Path To""hall Speak Peace": ""al",,W.F. Butler,Milwaukee,Swarthmore Peace Collection,JX1964.B8.,"Inscription: Miss Jane Addams from Wm. F. Butler, Milwaukee October 14, 1915.",,,,
1915,"Gale, Zona, 1874-1938.","Gale, Zona, 1874-1938",Heart's Kindred.,,The Macmillan Co.,New York,Swarthmore Peace Collection,JX1964.1.G14.,,,,,
c1930,"Meyer, Ernest Louis, 1892-1953.","Meyer, Ernest L. (Ernest Louis), 1892-1953",""hey! Yellowbacks!": The War Diary Of A Conscientious Objector / By Ernest L. Meyer ; Foreword By William Ellery Leonard.""hey! Yellowbacks!": The War Diary Of A Conscientious Objector / By Ernest L. Meyer ; Foreword By William Ellery Leonard.""ey! Yellowbacks!": The War Diary Of A Conscientious Objector / By Ernest L. Meyer ; Foreword By Willia""y! Yellowbacks!": The War Diary Of A Conscientious Objector / By Ernest L. Meyer ; Fo""! Yellowbacks!": The War Diary Of A Conscientious Objector / By Ernes"" Yellowbacks!": The War Diary Of A Conscientious Objec""Yellowbacks!": The War Diary Of A Consci""ellowbacks!": The War Diary""llowbacks!": Th""lowb",,The John Day Co.,New York,Swarthmore Peace Collection,JX1968.M4.,,,,,
1916,"Royce, Josiah, 1855-1916.","Royce, Josiah, 1855-1916.",The Hope Of The Great Community.,,The Macmillan Co.,New York,Swarthmore Peace Collection,D523.R6.,Inscribed: Josiah Royce.,,,,
[1920],"Willis, Irene Cooper.","Willis, Irene Cooper.",How We Got On With The War: A Further Study Of Liberal Idealism.,,The National Labour Press,Manchester [England] ; London,Swarthmore Peace Collection,D633.W5 H2.,,,,,
[1919],"Willis, Irene Cooper.","Willis, Irene Cooper.",How We Went Into The War: A Study Of Liberal Idealism.,,The National Labour Press,Manchester [England] ; London,Swarthmore Peace Collection,D633.W5 H1.,,,,,
1925,"Rowntree, B. Seebohm, 1871-1954.","Rowntree, B. Seebohm, 1871-1954.",The Human Factor In Business.,,"Longmans, Green, and Co.","London, New York",Swarthmore Peace Collection,HD8390.R7.,,,,,
1898,"James, William, 1842-1910.","James, William, 1842-1910.",Human Immortality: Two Supposed Objections To The Doctrine.,,"Houghton, Mifflin and Co.",Boston and New York,Swarthmore Peace Collection,BT923.J3.,,,,,
1915,"Dunning, William Archibald, 1857-1922.","Dunning, William Archibald, 1857-1922","A Hundred Years Of Peace Between The Two Great English-speaking Nations / Printed From The Plates Of "the British Empire And The United States" ... For The Use Of Ministers In The Preparation Of Sermons Appropriate To The Celebration Of The Centenary Of The Ratification Of The Ghent Treaty Of Peace On Sunday, February 14, 1915, Sent Out Under The Auspices Of The Federal Council Of The Churches Of Christ In America And The Church Peace Union."" Hundred Years Of Peace Between The Two Great English-speaking Nations / Printed From The Plates Of "the British Empire And The United States" ... For The Use Of Ministers In The Preparation Of Sermons Appropriate To The Celebration Of The Centenary Of The Ratification Of The Ghent Treaty Of Peace On Sunday, February 14, 1915, Sent Out Under""Hundred Years Of Peace Between The Two Great English-speaking Nations / Printed From The Plates Of "the British Empire And The United States" ... For The Use Of Ministers In The Preparation Of Sermons Appropriate To The Celebration Of The Cen""undred Years Of Peace Between The Two Great English-speaking Nations / Printed From The Plates Of "the British Empire And The United States" .""ndred Years Of Peace Between The Two Great ",,Scribner,New York,Swarthmore Peace Collection,E183.8.G7 D91.,,,,,
